id,date,lat,lng,text,flu
1e59d49d98ce7ce8d2eb18690eb930eb737ac64cdfc2deb151e39073638a6ba62ec494827506e8fe016851d09e33ebb6,12/1/2012,40.392211,-3.679243,cuándo enfadaste última vez qué sucedió hace min hermana contagio gripe URL cnsuj7sy,1
2c22ae60460305ac33ade4d783ae984a890c847205b679f010d2fe3b2d1c0081da9229c2dc1ba17766b3a072d7939fb9,12/1/2012,43.363201,-5.855144,curar gripe base birras,0
9438c7da2009f0e2c02404d0d6b74f858db89956535e164d00dca52c2f9e47465e2b9abc8678f6d0848cb55781464734,12/1/2012,41.611171,-4.753353,dolor huesos cabeza tripa tosmierda creo gripe viene,1
de3af94f1d72753a38d1f7a4e04e995d47a895cf53ae4dfbcb371191311a284356f71ddbf62cbbbdc5ca635ac79e6a9f,12/1/2012,36.16210175,-5.342669964,casa yaa resfriado puedo asco mñn engo jugar balona abe levanto ojj buenas noches,1
15fb0989a56c6192efcf5448bd763e00bfda1fd0f1e38558c265b3a3a4e8ef239972e1d44bf3df4c3f5d0f13cca8ed69,12/1/2012,36.74952,-5.80324,dormirestoy medio mueRTWa gripazo tengobn,1
96e1a9d77b80ae06637ef34663b37fbc5d40d265196c83a932bf64c95a0622438a3ba1bf76778b69d7c321a350fadf8c,12/1/2012,36.84680176,-2.45340991,ahogooo trancazo,1
27bcd5e73753128e382f3eee56cf5d76810726884967d242bd0caf701e66576181fb13081529fb5ddafb7e7e61e4bc28,12/1/2012,46.1969986,26.74469948,essa gripe matando cara ç3ç,1
7bebd610c3c8d4e567355e758f46b8fed3e5f9fca329e3d6162aa3e5c673f6433f2863224465682081bfe245ab2edca6,12/1/2012,0.0,0.0,gripe cel nuevo aviso internet fataaal HASHTAG,1
656a1c42703438a9e90f333449212f5f7d3c091986b91d4954f035b7b3062c63f1aa85892fd8ca7dce69966ffce01557,12/1/2012,0.0,0.0,RTW USERNAME gripe cel nuevo aviso internet fataaal HASHTAG,0
561dcd946bb706cf26e77b3b1d68ff136f8c7305931146099538be7222b04b937f5b71a15d2de80d94ca963bfe46d1a8,12/1/2012,42.23040009,-8.708740234,dia agotador hoy gran resfriado espero mejor mañana buenas noches,1
a70c1db69c5c5395ffc2327f209c436a426c59d09e90fc44d1127030c8ac2b1fe0e3076fa224e389e8ee86856c420251,12/1/2012,39.64200974,-8.009422302,constipado deitado cama não combina pessoalmente quase morro afogada ranho mal consigo respirar,1
1bfc24c69f91af0ef2cd1ca52d4b738d78d979a74b9c50cebe82dec076fab0c4e7417191b5237d2d8a234287d721949a,12/1/2012,49.43716431,22.80360603,USERNAME ahi fun direta bronquitis pasar pola gripe jajaja,1
3d5c6b1387ec20a72494970d50e5adddbe6ef907f5dedfe5a5d66ddbf2f719afd8e719682ec5a287d66cd0f3522ac1d2,12/1/2012,36.7215004,-4.442279816,resfriado sigue,1
53ce64ec9f911d8b4aa253c4980f2461fdaf8674d66b52a3f94563d31c33aaa4de28cb3c46d583129d14e9a28daccd24,12/1/2012,43.30270004,-1.973039985,resfriado permite mañana gran día fútbol liga fire,1
306ac0e57ea6f42ac54684492d5351772ac717f74d73cc7fae13d2ca772a753c850283afaac5aac04f440e31ca270976,12/1/2012,12.17886639,-61.64693069,menos mal hoy curro menudo trancazo alto HASHTAG,1
